Cold (feat. Future) | ['Maroon 5', 'Future'] | spotify:track:2NlTOhsAamXOaZciOXbITb
Gunman | ['M24'] | spotify:track:2R7FeovzlY08wXWc6nnPUT
Man Don't Dance | ['Big Shaq'] | spotify:track:2xfPdbWVd76RDhxUPjBNba
Man's Not Hot | ['Big Shaq'] | spotify:track:6X5OFBbrsHRsyO1zP7udgr
Trance (with Travis Scott & Young Thug) | ['Metro Boomin', 'Travis Scott', 'Young Thug'] | spotify:track:5wG3HvLhF6Y5KTGlK0IW3J
Saint-Tropez | ['Post Malone'] | spotify:track:05mDaV9Vb3wrzjF6OPZnhq
Unstoppable | ['Sia'] | spotify:track:1yvMUkIOTeUNtNWlWRgANS
Bones | ['Imagine Dragons'] | spotify:track:0HqZX76SFLDz2aW8aiqi7G
Dom Dom Yes Yes - Remix | ['Biser King'] | spotify:track:75ROpcEXiwPHmAJ5Vyva0G
Die 4 Me | ['Halsey'] | spotify:track:6VYAzAQGFsfEAwdorQaZuU
Greatness | ['Quavo'] | spotify:track:2eN0rxTtgxKkmVCNgizayr
Daily Duppy, Part 1 | ['NSG'] | spotify:track:07HLI4s97hx2FmCJsJ20hw
No More Sad Songs (feat. Machine Gun Kelly) | ['Little Mix', 'Machine Gun Kelly'] | spotify:track:0U372D2pbraSnrTFxSYlNj
Energy | ['Digga D'] | spotify:track:1ubY35d8LtYvMHsgPo8pMc
Die For You - Remix | ['The Weeknd', 'Ariana Grande'] | spotify:track:7oDd86yk8itslrA9HRP2ki
I GUESS IT'S LOVE? | ['The Kid LAROI'] | spotify:track:0zotwiNo16aaUg76C4Fgl5
Do You Love Me? (feat. Lil Tjay) | ['Rich The Kid', 'Lil Tjay'] | spotify:track:50IvZsOmgJvxjpELTWFaMa
Poppin (feat. Lil Tecca) | ['Rich Amiri', 'Lil Tecca'] | spotify:track:2QFkYE7FjOYVTWhLrB9GwH
Collapse | ['NEFFEX'] | spotify:track:4lDIuVbOluWcu2MWjCirQY
Home For My Heart | ['ArrDee', 'Cat Burns'] | spotify:track:1PGc9smXkDk2I7v8zsI0GB
MOTTO | ['NF'] | spotify:track:3q9PVufz68TRvOao25IMNk
Did It First | ['Dax'] | spotify:track:7lsLkp6rJfGQGhhpNmajeE
APOCALYPSE | ['Dax'] | spotify:track:75GVhlng44HsLFfHrT0NXy
GOTHAM | ['Dax'] | spotify:track:46EpBG2ix52PljuWNTgcTJ
I Need A Break | ['Dax'] | spotify:track:7pQWhEo5GxvArCLRWFu3H1
Child of God | ['Dax'] | spotify:track:07bLhtNzwV0GZAXAkkVY6p
Dear Mom | ['Dax'] | spotify:track:63Qhqmn6h8yDfVVwVZCMtx
My Heart Hurts | ['Dax'] | spotify:track:4nJC0WeDFiN7kF0NKGpYOk
Book Of Revelations | ['Dax'] | spotify:track:2pHYlaS9UBLbG0f7pgunhS
The Devil's Calling | ['Dax'] | spotify:track:4tnvlx8mLQ6d3cJraxQdOe
Dear Alcohol (feat. Elle King) | ['Dax', 'Elle King'] | spotify:track:2JspXl1hD5EUfyBln7r0F6
Depression | ['Dax'] | spotify:track:0yxPUMQsHJXThYjYMoIJU5
Dear God | ['Dax'] | spotify:track:5Evht83kIur1NX0crj1b3N
Dear Alcohol | ['Dax'] | spotify:track:3HgmGFYiO8967EFji8CSdM
JOKER | ['Dax'] | spotify:track:0HkoTr9t0f6MeqGoUS3E3e
Black Magic | ['Little Mix'] | spotify:track:6rmXhRIemCTPyMYZRDN7Qg
How Does It Feel | ['Chlöe', 'Chris Brown'] | spotify:track:0ixyLzNaPr7G2Fu5ETgssB
1 On 3 (feat. Rvssian) | ['Fivio Foreign', 'Rvssian'] | spotify:track:5APTC8XAiHLn89cpgWqrWl
Sober (feat. Roddy Ricch & Post Malone) | ['YG', 'Roddy Ricch', 'Post Malone'] | spotify:track:0AzqJBVMdHP9ijAadQ0T18
Nothing Changed | ['Quavo', 'Takeoff'] | spotify:track:48qgXl0CQUVYJVn6xv0rsP
Twin (feat. Lil Durk) | ['Roddy Ricch', 'Lil Durk'] | spotify:track:5B40Td13cDQ4adeAiLf8Z4
Down In Atlanta | ['Pharrell Williams', 'Travis Scott'] | spotify:track:5unjCay0kUjuej5ebn4nS4
Chocolate (feat. Young Thug and Gunna) | ['Quavo', 'Takeoff', 'Young Thug', 'Gunna'] | spotify:track:6PvHZ5vVjUhngh0t3pIsPc
Do It Right | ['Don Toliver'] | spotify:track:4ZevD501qZiFK7FY8DFn0V
My Friends (feat. Lil Durk) | ['Ty Dolla $ign', 'Mustard', 'Lil Durk'] | spotify:track:0wTTf3msjDJ8NcZGTmQJQV
Players | ['Coi Leray'] | spotify:track:6UN73IYd0hZxLi8wFPMQij
RUN | ['vixorite'] | spotify:track:0IypHIdHEma2pkqskZGVQY
Talking To Voices | ['Pompi'] | spotify:track:3JkCzsdPevT1R5pRwkdGct
HOPE | ['NF'] | spotify:track:12cZWGf5ZgLcKubEW9mx5q
Start Again | ['Connor Price', 'Chloe Sagum'] | spotify:track:4l5e4G1RzrfWWFgehoEgAH
Broken In All The Right Places | ['Lost Kings', 'MOD SUN'] | spotify:track:3iINQZKpmSMY2mkjLtlzYO
Glass House (feat. Naomi Wild) | ['Machine Gun Kelly', 'Naomi Wild'] | spotify:track:0YP8kt3sAYTj6eEyesreQH
I Can't Breathe | ['Dax'] | spotify:track:7maW83YbhxF6Eqv9H5d3FJ
Forgot | ['Trevor Daniel'] | spotify:track:3l3qvJzAam3vGyfcFQxRqF
Stay Away (feat. Machine Gun Kelly & Goody Grace) | ['MOD SUN', 'Machine Gun Kelly', 'Goody Grace'] | spotify:track:00okrW9OfjmG0PZJSY3fJd
